Company Name,Students Hired (Approx),CTC Package (INR LPA),Offer Type
Microsoft,7,44.0,Super Dream
WorkIndia,5,40.0,Super Dream
AppDynamics,2,39.2,Super Dream
D. E. Shaw,3,35.2,Super Dream
Udaan,4,35.0,Super Dream
Amazon,15,29.5,Super Dream
Cisco,8,29.17,Super Dream
Swiggy,6,28.2,Super Dream
Morgan Stanley,8,25.33,Super Dream
Google,5,25.0,Super Dream
PayPal,6,23.8,Super Dream
Cloudera,3,18.0,Super Dream
JP Morgan,7,15.0,Super Dream
Intel,10,12.0,Dream
HSBC,10,12.0,Dream
PwC,6,12.0,Dream
Standard Chartered,2,10.0,Dream
Dell,12,10.0,Dream
TCS (Prime),3,9.0,Super Dream
IBM,15,8.0,Dream
Accenture,25,7.8,Dream
Deloitte,20,7.6,Dream
Hero,8,7.0,Dream
TCS (Digital),42,7.0,Dream
HP,12,6.5,Dream
Nokia,5,6.0,Dream
Wipro,30,4.5,Regular
Cognizant,50,4.2,Regular
Infosys,40,4.1,Regular
TCS (Ninja),78,3.3,Regular
